bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area,Orthogonal_Lines,Mean_Intensity,Bug_to_Total_Ratio,Min_R_bug,Min_G_bug,Min_B_bug,Max_R_bug,Max_G_bug,Max_B_bug,Mean_R_bug,Mean_G_bug,Mean_B_bug
Bee,Apis mellifera,183.9960835,87.0,93.0,103.0,47.7912301368526,49.1074491485846,49.20952044392483,275555.0,1.4999999999999998,1.0312940972222222,0.011481458333333333,0.0,0.0,4.0,255.0,255.0,255.0,82.66385658035601,88.2312278855401,98.57262615448822
Bee,Andrenidae,169.052627,86.0,87.0,110.0,64.9440372654264,56.55186380187379,66.5492462806738,393328.0,1.0010135228813004,1.5123003055555555,0.016388666666666666,0.0,2.0,3.0,255.0,255.0,255.0,89.83608082821462,84.50395344343652,102.49157191961925
Bee,Apis mellifera,114.08896416666667,52.0,69.0,108.0,40.269370113630174,41.26398317986863,44.818181233127966,90361.0,1.2747548783981961,0.3037022916666667,0.0037650416666666665,0.0,0.0,9.0,255.0,255.0,255.0,60.03176149002335,73.94240878254999,108.01700955058045
Bee,Apis mellifera,139.0479865,111.0,141.0,170.0,61.91163808046151,59.31760473583041,59.95392429036542,181524.0,1.0,0.9917361805555556,0.0075635,0.0,4.0,9.0,255.0,255.0,255.0,111.49968599193495,129.38861527952227,152.47568916506907
Bee,Andrenidae,141.63839266666668,58.0,72.0,93.0,50.898943945973706,54.294386697339334,57.23678949877992,358205.0,1.118033988749895,1.207253875,0.014925208333333334,0.0,0.0,0.0,255.0,255.0,255.0,68.72074091651429,78.6028475314415,95.33711980569785
Bee,Apis mellifera,125.759932,69.0,100.0,132.0,48.50761106977822,44.215559712641294,49.31233198542779,428531.0,1.0,1.8732237777777778,0.017855458333333334,0.0,0.0,21.0,255.0,255.0,255.0,77.28227596136568,99.06911752008607,138.3798908363689
Bee,Apis mellifera,128.25546408333332,95.0,120.0,139.0,47.636720636277026,49.40002021304442,50.07429689633073,272691.0,1.0004677197566405,1.2695551388888888,0.011362125,0.0,0.0,8.0,255.0,255.0,255.0,93.56194740567162,110.84205566006946,130.80313615044133
Bee,Apis mellifera & Megachile centuncularis,137.09609941666668,58.0,61.0,81.0,58.4508225082855,60.86169712378821,68.51819481171877,236740.0,1.0,0.7959214861111111,0.009864166666666667,0.0,0.0,2.0,255.0,255.0,255.0,74.69413280391991,76.283416406184,91.086939258258
Bee,Apis mellifera,138.038435,42.0,63.0,77.0,44.80968301857646,50.38532092925722,55.26763536673864,195742.0,1.0013541899731195,0.5738685277777777,0.008155916666666667,0.0,2.0,6.0,255.0,255.0,255.0,55.49679680395623,70.85525845245272,84.73465071369456
Bee,Apis mellifera,110.4310615,32.0,51.0,70.0,36.99091697421535,48.33149801074276,51.36076854892605,193068.0,1.0015946475751993,0.5081804444444444,0.0080445,0.0,5.0,7.0,255.0,255.0,255.0,44.335845401620155,65.87739034951416,79.30026208382539
Bee,Apis mellifera,122.29820808333334,28.0,37.0,57.0,47.202185127609326,49.54143218502413,48.88376754416178,130014.0,1.0,0.318692625,0.00541725,0.0,5.0,5.0,182.0,188.0,192.0,48.083975571861494,57.11564139246543,71.2880612857077
Bee,Apis mellifera,147.99359675,65.0,97.0,118.0,35.49956243091117,46.22214215543448,50.74702261561175,226976.0,1.001791446950301,0.8311628055555556,0.009457333333333333,5.0,7.0,9.0,238.0,255.0,255.0,63.46918616946285,88.43912572254335,111.74829497391795
Bee,Apis mellifera,83.49877,88.0,128.0,151.0,53.26071983321595,62.29575644122234,63.649250228512116,250740.0,1.0,1.2255369722222222,0.0104475,0.0,8.0,11.0,255.0,255.0,255.0,91.58747307968413,117.72198691872059,142.60352556432957
Bee,Apis mellifera,142.84964575,65.0,91.0,109.0,44.09892690013977,45.57876729105866,47.0269654511318,277680.0,1.0,1.0729805,0.01157,0.0,0.0,0.0,255.0,255.0,255.0,73.69265701526938,92.67999135695764,111.84182872371075
Bee,Apis mellifera,127.49497308333333,45.0,65.0,87.0,41.984803141630564,44.588168680582804,50.42578035191402,398036.0,1.0,1.1834651388888888,0.016584833333333333,0.0,0.0,4.0,255.0,255.0,255.0,53.35651800339668,68.2136465043363,92.50466791948467
Bee,Andrenidae,106.45764883333334,52.0,72.0,90.0,29.165267430624247,34.21862788441932,39.00912966808919,352830.0,1.043245929282984,1.0416644305555556,0.01470125,0.0,5.0,8.0,152.0,191.0,210.0,56.04179066405918,71.09253181418813,85.4321798033047
Bee,Andrenidae,158.64819525,62.0,89.0,101.0,52.38133532489902,55.90193502779787,55.84521327246895,225348.0,1.0028287722218483,0.8844887222222222,0.0093895,0.0,5.0,8.0,255.0,255.0,255.0,77.16804675435327,97.90795125761045,107.5233061753377
Bee,Apis mellifera,136.41536725,68.0,91.0,102.0,42.863069925176816,45.36817958514439,46.35064452495959,318093.0,1.001111901486647,1.2236826388888888,0.013253875,0.0,0.0,3.0,255.0,255.0,255.0,76.25330327922966,92.4546783487848,108.27123514192391
Bee,Apis mellifera,147.2444635,79.0,84.0,122.0,42.7223091356638,44.95245864803391,47.997968805838184,465392.0,1.0,1.815999513888889,0.019391333333333333,0.0,0.0,11.0,255.0,255.0,255.0,76.48012857977791,85.42250403960533,119.0475448654038
Bee,Apis mellifera,117.17271408333333,85.0,106.0,127.0,45.4659651759151,45.19593159362092,48.30789912342913,301304.0,1.0011931851468254,1.3337775277777777,0.012554333333333334,0.0,0.0,9.0,255.0,255.0,255.0,88.42585561426334,103.29353742399702,127.00183867456124
Bee,Megachile centuncularis,133.75976,32.0,68.0,79.0,42.0420930194357,42.821848000722376,46.04028813402557,326770.0,1.0,0.9584503194444445,0.013615416666666666,0.0,6.0,9.0,250.0,217.0,235.0,47.33235609144046,74.80014689230957,89.05096857116627
Bee,Megachile centuncularis,140.40223483333332,60.0,84.0,98.0,44.161856556183146,42.30267497143862,45.11698340433194,502427.0,1.0,1.7560200416666667,0.020934458333333333,0.0,0.0,5.0,241.0,243.0,255.0,68.4666369442725,84.42244744012564,98.75631484772913
Bee,Megachile centuncularis,114.875117,97.0,78.0,87.0,66.94287514806042,52.427298011592725,59.198221012859946,290784.0,1.001337467155436,1.161160861111111,0.012116,0.0,0.0,3.0,255.0,243.0,255.0,109.70195746671068,82.9542581435017,94.8547272202047
Bee,Megachile centuncularis,115.24933041666667,101.0,87.0,111.0,66.2345996737985,54.266553844894965,62.73058274468106,229113.0,1.0,0.9825881666666667,0.009546375,4.0,4.0,6.0,255.0,237.0,255.0,110.66532671651106,89.05055583925835,109.06776568767377
Butterfly,Pieris rapae,96.66491508333333,155.0,192.0,189.0,44.09615550757426,37.77343469350152,38.707849463640244,427326.0,1.0008802517437876,3.1226227083333336,0.01780525,17.0,14.0,32.0,255.0,255.0,255.0,159.38617355368032,184.90425576725966,181.83911814399312
